created_at,entry_id,pm2_5,pm10,temp,trysnia,lageshtira,alarm_status
2019-09-24 21:50:32 CEST,82,6.1,18.7,23.2,99874,90.62,0
2019-09-24 21:51:26 CEST,83,6.1,18.8,23.2,99872,90.62,0
2019-09-24 21:52:20 CEST,84,6,18.8,23.2,99877,90.62,0
2019-09-24 21:53:13 CEST,85,6.1,18.7,23.1,99862,90.62,0
2019-09-24 21:54:07 CEST,86,6.1,18.9,23,99872,90.62,0
2019-09-24 21:55:01 CEST,87,6.1,18.9,23,99874,90.59,0
2019-09-24 21:55:55 CEST,88,6,16.3,23,99869,90.59,0
2019-09-24 21:56:49 CEST,89,6.1,16.2,22.9,99874,90.59,0
2019-09-24 21:57:43 CEST,90,6.1,17.1,23,99868,90.59,0
2019-09-24 21:58:37 CEST,91,6,17.3,23,99868,90.51,0
2019-09-24 21:59:31 CEST,92,6,17.2,23,99868,90.51,0
2019-09-24 22:00:25 CEST,93,6,17.4,23,99863,90.51,0
2019-09-24 22:01:19 CEST,94,6,16.4,23,99866,90.51,0
2019-09-24 22:02:14 CEST,95,6.1,16.7,23,99868,90.47,0
2019-09-24 22:03:07 CEST,96,6.1,17.1,23,99865,90.47,0
2019-09-24 22:04:01 CEST,97,6.1,16.8,23,99854,90.47,0
2019-09-24 22:04:55 CEST,98,6.2,16.7,23.1,99859,90.47,0
2019-09-24 22:05:49 CEST,99,6.1,15.1,23.1,99850,90.4,0
2019-09-24 22:06:43 CEST,100,6.1,16.5,23.1,99850,90.4,0
2019-09-24 22:07:37 CEST,101,6,15.8,23.1,99857,91.87,0
2019-09-24 22:08:31 CEST,102,6,16.1,23.1,99859,91.87,0
2019-09-24 22:09:25 CEST,103,6,15.7,23,99865,91.87,0
2019-09-24 22:10:19 CEST,104,6.1,16.4,23,99856,91.78,0
2019-09-24 22:11:13 CEST,105,6,15.5,23.1,99857,91.78,0
2019-09-24 22:12:07 CEST,106,6.1,15.2,23.3,99850,91.78,0
2019-09-24 22:13:00 CEST,107,6.1,15,23.3,99854,91.64,0
2019-09-24 22:13:54 CEST,108,6,15.1,23.3,99856,91.64,0
2019-09-24 22:14:48 CEST,109,6,14.8,23.2,99845,91.64,0
2019-09-24 22:15:42 CEST,110,6,14.7,23.1,99848,91.64,0
2019-09-24 22:16:37 CEST,111,6,14.6,23.1,99859,91.64,0
2019-09-24 22:17:31 CEST,112,5.9,15.5,23.1,99863,91.55,0
2019-09-24 22:18:25 CEST,113,5.8,15.4,23.1,99857,91.55,0
2019-09-24 22:19:19 CEST,114,5.8,16.3,23.2,99856,91.55,0
2019-09-24 22:20:13 CEST,115,5.8,16.3,23.1,99860,91.55,0
2019-09-24 22:21:07 CEST,116,5.8,16.4,23.1,99856,91.55,0
2019-09-24 22:22:02 CEST,117,5.8,16.6,23.1,99854,91.5,0
2019-09-24 22:22:56 CEST,118,5.9,16.6,23.1,99847,91.5,0
2019-09-24 22:23:50 CEST,119,5.8,16.7,23.1,99856,91.5,0
2019-09-24 22:24:44 CEST,120,5.8,16,23.1,99854,91.5,0
2019-09-24 22:25:38 CEST,121,5.8,14.7,23.1,99859,91.45,0
2019-09-24 22:26:31 CEST,122,5.9,15.4,23.1,99865,91.45,0
2019-09-24 22:27:26 CEST,123,5.9,16.3,23.1,99866,91.45,0
2019-09-24 22:28:20 CEST,124,5.9,16.5,23,99869,91.38,0
2019-09-24 22:29:14 CEST,125,5.9,16.5,23,99877,91.38,0
2019-09-24 22:30:08 CEST,126,5.9,16.8,23,99868,91.38,0
2019-09-24 22:31:02 CEST,127,5.9,16.9,23.1,99866,91.38,0
2019-09-24 22:31:56 CEST,128,5.8,17.5,23.1,99869,91.38,0
2019-09-24 22:32:50 CEST,129,5.8,18.6,23.1,99868,91.32,0
2019-09-24 22:33:44 CEST,130,5.8,17,23.2,99860,91.32,0
2019-09-24 22:34:38 CEST,131,5.8,18.1,23.2,99874,91.32,0
2019-09-24 22:35:32 CEST,132,5.7,17.4,23.1,99872,91.32,0
2019-09-24 22:36:26 CEST,133,5.8,18.5,23.1,99875,91.32,0
2019-09-24 22:37:20 CEST,134,5.8,18.3,23.1,99877,91.26,0
2019-09-24 22:38:14 CEST,135,5.8,18.2,23.1,99883,91.26,0
2019-09-24 22:39:08 CEST,136,5.7,18.3,23.1,99868,91.26,0
2019-09-24 22:40:02 CEST,137,5.7,19,23.1,99883,91.26,0
2019-09-24 22:40:56 CEST,138,5.7,18.9,23.1,99874,91.26,0
2019-09-24 22:41:50 CEST,139,5.8,19,23.1,99878,91.21,0
2019-09-24 22:42:44 CEST,140,5.8,19.5,23,99883,91.21,0
2019-09-24 22:43:38 CEST,141,5.8,19.3,23.1,99880,91.21,0
2019-09-24 22:44:31 CEST,142,5.9,18.1,23.2,99878,91.21,0
2019-09-24 22:45:25 CEST,143,5.9,18.7,23.3,99878,91.2,0
2019-09-24 22:46:19 CEST,144,5.9,18,23.4,99880,91.2,0
2019-09-24 22:47:13 CEST,145,5.9,19.1,23.3,99889,91.2,0
2019-09-24 22:48:10 CEST,146,5.9,20.4,23.3,99896,91.18,1
2019-09-24 22:49:07 CEST,147,6.1,23.2,23.2,99892,91.18,1
2019-09-24 22:50:04 CEST,148,6.1,24,23.2,99890,91.18,1
2019-09-24 22:51:01 CEST,149,6.1,23.9,23.1,99914,91.18,1
2019-09-24 22:51:58 CEST,150,6.1,23.7,23.1,99889,91.12,1
2019-09-24 22:52:55 CEST,151,6.2,24.4,23.1,99883,91.12,1
2019-09-24 22:53:52 CEST,152,6.2,23.9,23.1,99881,91.12,1
2019-09-24 22:54:48 CEST,153,6.2,23.5,23,99875,91.12,1
2019-09-24 22:55:45 CEST,154,6.2,24.8,23,99884,91.12,1
2019-09-24 22:56:42 CEST,155,6.1,25.7,22.9,99892,91.05,1
2019-09-24 22:57:39 CEST,156,6.2,25.4,22.9,99893,91.05,1
2019-09-24 22:58:36 CEST,157,6.3,26.7,22.8,99880,91.05,1
2019-09-24 22:59:33 CEST,158,6.4,26,22.7,99892,91.05,1
2019-09-24 23:00:30 CEST,159,6.4,26,22.8,99884,90.94,1
2019-09-24 23:01:27 CEST,160,6.5,27.3,22.9,99887,90.94,1
2019-09-24 23:02:24 CEST,161,6.6,26.8,22.9,99895,90.94,1
2019-09-24 23:03:21 CEST,162,6.7,26.9,22.8,99889,90.94,1
2019-09-24 23:04:18 CEST,163,6.6,26.1,22.9,99896,90.88,1
2019-09-24 23:05:15 CEST,164,6.6,25.9,22.8,99887,90.88,1
2019-09-24 23:06:12 CEST,165,6.7,26.2,22.8,99887,90.88,1
2019-09-24 23:07:09 CEST,166,6.8,26.8,22.9,99899,90.88,1
2019-09-24 23:08:06 CEST,167,6.8,26.2,22.9,99884,90.88,1
2019-09-24 23:09:03 CEST,168,6.8,27.5,22.9,99893,90.81,1
2019-09-24 23:10:00 CEST,169,6.8,27.7,22.9,99895,90.81,1
2019-09-24 23:10:57 CEST,170,6.8,27.4,23,99893,90.81,1
2019-09-24 23:11:54 CEST,171,6.8,27.6,23,99886,90.76,1
2019-09-24 23:12:50 CEST,172,6.8,27.5,23,99883,90.76,1
2019-09-24 23:13:47 CEST,173,6.8,27.4,22.9,99877,90.76,1
2019-09-24 23:14:44 CEST,174,6.9,27.1,22.9,99890,90.71,1
2019-09-24 23:15:41 CEST,175,6.8,26.1,22.7,99884,90.71,1
2019-09-24 23:16:38 CEST,176,6.8,24.6,22.6,99893,90.71,1
2019-09-24 23:17:36 CEST,177,6.7,21.8,22.5,99889,90.71,1
2019-09-24 23:18:33 CEST,178,6.6,21.6,22.5,99877,90.68,1
2019-09-24 23:19:29 CEST,179,6.6,21.5,22.4,99876,90.68,1
2019-09-24 23:20:26 CEST,180,6.6,21.5,22.5,99887,90.68,1
2019-09-24 23:21:23 CEST,181,6.6,21.1,22,99880,90.68,1
2019-09-24 23:22:20 CEST,182,6.6,21.7,22.4,99877,90.68,1
2019-09-24 23:23:17 CEST,183,6.6,21.1,22.4,99887,90.62,1
2019-09-24 23:24:14 CEST,184,6.5,20.2,22.4,99886,90.62,1
2019-09-24 23:25:08 CEST,185,6.6,19.4,22.5,99876,90.62,0
2019-09-24 23:26:02 CEST,186,6.5,19.1,22.5,99895,90.62,0
2019-09-24 23:26:56 CEST,187,6.4,18.3,22.5,99890,90.62,0
